fs_time,time,param1,param2,covar
14.0,15.0,phi,k,-3.025318386433162e-29
14.0,15.0,phi,rho,-6.0681073943211326e-05
14.0,15.0,phi,beta,-0.9847138385557043
14.0,15.0,lnV0,pi,-1.5969516041209093
14.0,15.0,lnV0,k,-9.559722438989012e-30
14.0,15.0,lnV0,rho,-0.0011624207699881366
14.0,15.0,lnV0,beta,-0.040130231388866615
14.0,15.0,pi,k,2.4402097240232067e-27
14.0,15.0,pi,rho,-0.0025397269566257916
14.0,15.0,pi,beta,3.227795677000394
14.0,15.0,k,rho,-5.82933405457623e-33
14.0,15.0,k,beta,1.5046426544836762e-29
14.0,15.0,rho,beta,0.0004256215877819537
14.0,16.0,c,delta,9.104321373277457e-29
14.0,16.0,c,phi,2.306789853234646e-28
14.0,16.0,c,lnV0,7.326499745049408e-29
14.0,16.0,c,pi,-1.8295270697416335e-26
14.0,16.0,c,k,-9.471848841339862e-29
14.0,16.0,c,rho,4.085351469653424e-32
14.0,16.0,c,beta,-1.0399300707054392e-28
14.0,16.0,delta,phi,-0.11865460510257357
14.0,16.0,delta,lnV0,0.0029804225902565692
14.0,16.0,delta,pi,0.14815302146613737
14.0,16.0,delta,k,-1.2114223339070417e-29
14.0,16.0,delta,rho,-0.00013264958436863972
14.0,16.0,delta,beta,-0.02169394183856437
14.0,16.0,phi,lnV0,-0.1833065780366625
14.0,16.0,phi,pi,-3.757813694298232
14.0,16.0,phi,k,-3.025318386433162e-29
14.0,16.0,phi,rho,-6.0681073943211326e-05
14.0,16.0,phi,beta,-0.9847138385557043
14.0,16.0,lnV0,pi,-1.5969516041209093
14.0,16.0,lnV0,k,-9.559722438989012e-30
14.0,16.0,lnV0,rho,-0.0011624207699881366
14.0,16.0,lnV0,beta,-0.040130231388866615
14.0,16.0,pi,k,2.4402097240232067e-27
14.0,16.0,pi,rho,-0.0025397269566257916
14.0,16.0,pi,beta,3.227795677000394
14.0,16.0,k,rho,-5.82933405457623e-33
14.0,16.0,k,beta,1.5046426544836762e-29
14.0,16.0,rho,beta,0.0004256215877819537
14.0,17.0,c,delta,9.104321373277457e-29
14.0,17.0,c,phi,2.306789853234646e-28
14.0,17.0,c,lnV0,7.326499745049408e-29
14.0,17.0,c,pi,-1.8295270697416335e-26
14.0,17.0,c,k,-9.471848841339862e-29
14.0,17.0,c,rho,4.085351469653424e-32
14.0,17.0,c,beta,-1.0399300707054392e-28
14.0,17.0,delta,phi,-0.11865460510257357
14.0,17.0,delta,lnV0,0.0029804225902565692
14.0,17.0,delta,pi,0.14815302146613737
14.0,17.0,delta,k,-1.2114223339070417e-29
14.0,17.0,delta,rho,-0.00013264958436863972
14.0,17.0,delta,beta,-0.02169394183856437
14.0,17.0,phi,lnV0,-0.1833065780366625
14.0,17.0,phi,pi,-3.757813694298232
14.0,17.0,phi,k,-3.025318386433162e-29
14.0,17.0,phi,rho,-6.0681073943211326e-05
14.0,17.0,phi,beta,-0.9847138385557043
14.0,17.0,lnV0,pi,-1.5969516041209093
14.0,17.0,lnV0,k,-9.559722438989012e-30
14.0,17.0,lnV0,rho,-0.0011624207699881366
14.0,17.0,lnV0,beta,-0.040130231388866615
14.0,17.0,pi,k,2.4402097240232067e-27
14.0,17.0,pi,rho,-0.0025397269566257916
14.0,17.0,pi,beta,3.227795677000394
14.0,17.0,k,rho,-5.82933405457623e-33
14.0,17.0,k,beta,1.5046426544836762e-29
14.0,17.0,rho,beta,0.0004256215877819537
14.0,18.0,c,delta,9.104321373277457e-29
14.0,18.0,c,phi,2.306789853234646e-28
14.0,18.0,c,lnV0,7.326499745049408e-29
14.0,18.0,c,pi,-1.8295270697416335e-26
14.0,18.0,c,k,-9.471848841339862e-29
14.0,18.0,c,rho,4.085351469653424e-32
14.0,18.0,c,beta,-1.0399300707054392e-28
14.0,18.0,delta,phi,-0.11865460510257357
14.0,18.0,delta,lnV0,0.0029804225902565692
14.0,18.0,delta,pi,0.14815302146613737
14.0,18.0,delta,k,-1.2114223339070417e-29
14.0,18.0,delta,rho,-0.00013264958436863972
14.0,18.0,delta,beta,-0.02169394183856437
14.0,18.0,phi,lnV0,-0.1833065780366625
14.0,18.0,phi,pi,-3.757813694298232
14.0,18.0,phi,k,-3.025318386433162e-29
14.0,18.0,phi,rho,-6.0681073943211326e-05
14.0,18.0,phi,beta,-0.9847138385557043
14.0,18.0,lnV0,pi,-1.5969516041209093
14.0,18.0,lnV0,k,-9.559722438989012e-30
14.0,18.0,lnV0,rho,-0.0011624207699881366
14.0,18.0,lnV0,beta,-0.040130231388866615
14.0,18.0,pi,k,2.4402097240232067e-27
14.0,18.0,pi,rho,-0.0025397269566257916
14.0,18.0,pi,beta,3.227795677000394
14.0,18.0,k,rho,-5.82933405457623e-33
14.0,18.0,k,beta,1.5046426544836762e-29
14.0,18.0,rho,beta,0.0004256215877819537
14.0,19.0,c,delta,9.104321373277457e-29
14.0,19.0,c,phi,2.306789853234646e-28
14.0,19.0,c,lnV0,7.326499745049408e-29
14.0,19.0,c,pi,-1.8295270697416335e-26
14.0,19.0,c,k,-9.471848841339862e-29
14.0,19.0,c,rho,4.085351469653424e-32
14.0,19.0,c,beta,-1.0399300707054392e-28
14.0,19.0,delta,phi,-0.11865460510257357
14.0,19.0,delta,lnV0,0.0029804225902565692
14.0,19.0,delta,pi,0.14815302146613737
14.0,19.0,delta,k,-1.2114223339070417e-29
14.0,19.0,delta,rho,-0.00013264958436863972
14.0,19.0,delta,beta,-0.02169394183856437
14.0,19.0,phi,lnV0,-0.1833065780366625
14.0,19.0,phi,pi,-3.757813694298232
14.0,19.0,phi,k,-3.025318386433162e-29
14.0,19.0,phi,rho,-6.0681073943211326e-05
14.0,19.0,phi,beta,-0.9847138385557043
14.0,19.0,lnV0,pi,-1.5969516041209093
14.0,19.0,lnV0,k,-9.559722438989012e-30
14.0,19.0,lnV0,rho,-0.0011624207699881366
14.0,19.0,lnV0,beta,-0.040130231388866615
14.0,19.0,pi,k,2.4402097240232067e-27
14.0,19.0,pi,rho,-0.0025397269566257916
14.0,19.0,pi,beta,3.227795677000394
14.0,19.0,k,rho,-5.82933405457623e-33
14.0,19.0,k,beta,1.5046426544836762e-29
14.0,19.0,rho,beta,0.0004256215877819537
14.0,20.0,c,delta,9.104321373277457e-29
14.0,20.0,c,phi,2.306789853234646e-28
14.0,20.0,c,lnV0,7.326499745049408e-29
14.0,20.0,c,pi,-1.8295270697416335e-26
14.0,20.0,c,k,-9.471848841339862e-29
14.0,20.0,c,rho,4.085351469653424e-32
14.0,20.0,c,beta,-1.0399300707054392e-28
14.0,20.0,delta,phi,-0.11865460510257357
14.0,20.0,delta,lnV0,0.0029804225902565692
14.0,20.0,delta,pi,0.14815302146613737
14.0,20.0,delta,k,-1.2114223339070417e-29
14.0,20.0,delta,rho,-0.00013264958436863972
14.0,20.0,delta,beta,-0.02169394183856437
14.0,20.0,phi,lnV0,-0.1833065780366625
14.0,20.0,phi,pi,-3.757813694298232
14.0,20.0,phi,k,-3.025318386433162e-29
14.0,20.0,phi,rho,-6.0681073943211326e-05
14.0,20.0,phi,beta,-0.9847138385557043
14.0,20.0,lnV0,pi,-1.5969516041209093
14.0,20.0,lnV0,k,-9.559722438989012e-30
14.0,20.0,lnV0,rho,-0.0011624207699881366
14.0,20.0,lnV0,beta,-0.040130231388866615
14.0,20.0,pi,k,2.4402097240232067e-27
14.0,20.0,pi,rho,-0.0025397269566257916
14.0,20.0,pi,beta,3.227795677000394
14.0,20.0,k,rho,-5.82933405457623e-33
14.0,20.0,k,beta,1.5046426544836762e-29
14.0,20.0,rho,beta,0.0004256215877819537
14.0,21.0,c,delta,9.104321373277457e-29
14.0,21.0,c,phi,2.306789853234646e-28
14.0,21.0,c,lnV0,7.326499745049408e-29
14.0,21.0,c,pi,-1.8295270697416335e-26
14.0,21.0,c,k,-9.471848841339862e-29
14.0,21.0,c,rho,4.085351469653424e-32
14.0,21.0,c,beta,-1.0399300707054392e-28
14.0,21.0,delta,phi,-0.11865460510257357
14.0,21.0,delta,lnV0,0.0029804225902565692
14.0,21.0,delta,pi,0.14815302146613737
14.0,21.0,delta,k,-1.2114223339070417e-29
14.0,21.0,delta,rho,-0.00013264958436863972
14.0,21.0,delta,beta,-0.02169394183856437
14.0,21.0,phi,lnV0,-0.1833065780366625
14.0,21.0,phi,pi,-3.757813694298232
14.0,21.0,phi,k,-3.025318386433162e-29
14.0,21.0,phi,rho,-6.0681073943211326e-05
14.0,21.0,phi,beta,-0.9847138385557043
14.0,21.0,lnV0,pi,-1.5969516041209093
14.0,21.0,lnV0,k,-9.559722438989012e-30
14.0,21.0,lnV0,rho,-0.0011624207699881366
14.0,21.0,lnV0,beta,-0.040130231388866615
14.0,21.0,pi,k,2.4402097240232067e-27
14.0,21.0,pi,rho,-0.0025397269566257916
14.0,21.0,pi,beta,3.227795677000394
14.0,21.0,k,rho,-5.82933405457623e-33
14.0,21.0,k,beta,1.5046426544836762e-29
14.0,21.0,rho,beta,0.0004256215877819537
