fs_time,time,param1,param2,covar
14.0,16.0,c,pi,-1.1578039898750748e-26
14.0,16.0,lnV0,delta,0.005077262974946146
14.0,16.0,lnV0,rho,0.00031355021880666474
14.0,16.0,lnV0,beta,0.1317153296689494
14.0,16.0,lnV0,phi,-0.416332849343693
14.0,16.0,lnV0,k,2.840388524362559e-28
14.0,16.0,lnV0,pi,-0.6570322938394643
14.0,16.0,delta,rho,8.645214081616591e-06
14.0,16.0,delta,beta,-0.04683081984068242
14.0,16.0,delta,phi,-0.11084398585040008
14.0,16.0,delta,k,-5.905953885844264e-29
14.0,16.0,delta,pi,0.05123158383991244
14.0,16.0,rho,beta,0.0006595121611135916
14.0,16.0,rho,phi,-0.0022488121347851715
14.0,16.0,rho,k,2.588638598323514e-31
14.0,16.0,rho,pi,0.018216203079078425
14.0,16.0,beta,phi,-0.34316611094545724
14.0,16.0,beta,k,-5.214621491180219e-29
14.0,16.0,beta,pi,-1.0105529570806568
14.0,16.0,phi,k,1.9159783509260657e-28
14.0,16.0,phi,pi,-7.511667236728601
14.0,16.0,k,pi,5.69776407327972e-27
14.0,17.0,c,lnV0,-5.751885523604848e-28
14.0,17.0,c,delta,1.2206954854353697e-28
14.0,17.0,c,rho,-5.451186794979323e-31
14.0,17.0,c,beta,1.0508252398893474e-28
14.0,17.0,c,phi,-3.958371768304985e-28
14.0,17.0,c,k,-2.6239027230620472e-27
14.0,17.0,c,pi,-1.1578039898750748e-26
14.0,17.0,lnV0,delta,0.005077262974946146
14.0,17.0,lnV0,rho,0.00031355021880666474
14.0,17.0,lnV0,beta,0.1317153296689494
14.0,17.0,lnV0,phi,-0.416332849343693
14.0,17.0,lnV0,k,2.840388524362559e-28
14.0,17.0,lnV0,pi,-0.6570322938394643
14.0,17.0,delta,rho,8.645214081616591e-06
14.0,17.0,delta,beta,-0.04683081984068242
14.0,17.0,delta,phi,-0.11084398585040008
14.0,17.0,delta,k,-5.905953885844264e-29
14.0,17.0,delta,pi,0.05123158383991244
14.0,17.0,rho,beta,0.0006595121611135916
14.0,17.0,rho,phi,-0.0022488121347851715
14.0,17.0,rho,k,2.588638598323514e-31
14.0,17.0,rho,pi,0.018216203079078425
14.0,17.0,beta,phi,-0.34316611094545724
14.0,17.0,beta,k,-5.214621491180219e-29
14.0,17.0,beta,pi,-1.0105529570806568
14.0,17.0,phi,k,1.9159783509260657e-28
14.0,17.0,phi,pi,-7.511667236728601
14.0,17.0,k,pi,5.69776407327972e-27
14.0,18.0,c,lnV0,-5.751885523604848e-28
14.0,18.0,c,delta,1.2206954854353697e-28
14.0,18.0,c,rho,-5.451186794979323e-31
14.0,18.0,c,beta,1.0508252398893474e-28
14.0,18.0,c,phi,-3.958371768304985e-28
14.0,18.0,c,k,-2.6239027230620472e-27
14.0,18.0,c,pi,-1.1578039898750748e-26
14.0,18.0,lnV0,delta,0.005077262974946146
14.0,18.0,lnV0,rho,0.00031355021880666474
14.0,18.0,lnV0,beta,0.1317153296689494
14.0,18.0,lnV0,phi,-0.416332849343693
14.0,18.0,lnV0,k,2.840388524362559e-28
14.0,18.0,lnV0,pi,-0.6570322938394643
14.0,18.0,delta,rho,8.645214081616591e-06
14.0,18.0,delta,beta,-0.04683081984068242
14.0,18.0,delta,phi,-0.11084398585040008
14.0,18.0,delta,k,-5.905953885844264e-29
14.0,18.0,delta,pi,0.05123158383991244
14.0,18.0,rho,beta,0.0006595121611135916
14.0,18.0,rho,phi,-0.0022488121347851715
14.0,18.0,rho,k,2.588638598323514e-31
14.0,18.0,rho,pi,0.018216203079078425
14.0,18.0,beta,phi,-0.34316611094545724
14.0,18.0,beta,k,-5.214621491180219e-29
14.0,18.0,beta,pi,-1.0105529570806568
14.0,18.0,phi,k,1.9159783509260657e-28
14.0,18.0,phi,pi,-7.511667236728601
14.0,18.0,k,pi,5.69776407327972e-27
14.0,19.0,c,lnV0,-5.751885523604848e-28
14.0,19.0,c,delta,1.2206954854353697e-28
14.0,19.0,c,rho,-5.451186794979323e-31
14.0,19.0,c,beta,1.0508252398893474e-28
14.0,19.0,c,phi,-3.958371768304985e-28
14.0,19.0,c,k,-2.6239027230620472e-27
14.0,19.0,c,pi,-1.1578039898750748e-26
14.0,19.0,lnV0,delta,0.005077262974946146
14.0,19.0,lnV0,rho,0.00031355021880666474
14.0,19.0,lnV0,beta,0.1317153296689494
14.0,19.0,lnV0,phi,-0.416332849343693
14.0,19.0,lnV0,k,2.840388524362559e-28
14.0,19.0,lnV0,pi,-0.6570322938394643
14.0,19.0,delta,rho,8.645214081616591e-06
14.0,19.0,delta,beta,-0.04683081984068242
14.0,19.0,delta,phi,-0.11084398585040008
14.0,19.0,delta,k,-5.905953885844264e-29
14.0,19.0,delta,pi,0.05123158383991244
14.0,19.0,rho,beta,0.0006595121611135916
14.0,19.0,rho,phi,-0.0022488121347851715
14.0,19.0,rho,k,2.588638598323514e-31
14.0,19.0,rho,pi,0.018216203079078425
14.0,19.0,beta,phi,-0.34316611094545724
14.0,19.0,beta,k,-5.214621491180219e-29
14.0,19.0,beta,pi,-1.0105529570806568
14.0,19.0,phi,k,1.9159783509260657e-28
14.0,19.0,phi,pi,-7.511667236728601
14.0,19.0,k,pi,5.69776407327972e-27
14.0,20.0,c,lnV0,-5.751885523604848e-28
14.0,20.0,c,delta,1.2206954854353697e-28
14.0,20.0,c,rho,-5.451186794979323e-31
14.0,20.0,c,beta,1.0508252398893474e-28
14.0,20.0,c,phi,-3.958371768304985e-28
14.0,20.0,c,k,-2.6239027230620472e-27
14.0,20.0,c,pi,-1.1578039898750748e-26
14.0,20.0,lnV0,delta,0.005077262974946146
14.0,20.0,lnV0,rho,0.00031355021880666474
14.0,20.0,lnV0,beta,0.1317153296689494
14.0,20.0,lnV0,phi,-0.416332849343693
14.0,20.0,lnV0,k,2.840388524362559e-28
14.0,20.0,lnV0,pi,-0.6570322938394643
14.0,20.0,delta,rho,8.645214081616591e-06
14.0,20.0,delta,beta,-0.04683081984068242
14.0,20.0,delta,phi,-0.11084398585040008
14.0,20.0,delta,k,-5.905953885844264e-29
14.0,20.0,delta,pi,0.05123158383991244
14.0,20.0,rho,beta,0.0006595121611135916
14.0,20.0,rho,phi,-0.0022488121347851715
14.0,20.0,rho,k,2.588638598323514e-31
14.0,20.0,rho,pi,0.018216203079078425
14.0,20.0,beta,phi,-0.34316611094545724
14.0,20.0,beta,k,-5.214621491180219e-29
14.0,20.0,beta,pi,-1.0105529570806568
14.0,20.0,phi,k,1.9159783509260657e-28
14.0,20.0,phi,pi,-7.511667236728601
14.0,20.0,k,pi,5.69776407327972e-27
14.0,21.0,c,lnV0,-5.751885523604848e-28
14.0,21.0,c,delta,1.2206954854353697e-28
14.0,21.0,c,rho,-5.451186794979323e-31
14.0,21.0,c,beta,1.0508252398893474e-28
14.0,21.0,c,phi,-3.958371768304985e-28
14.0,21.0,c,k,-2.6239027230620472e-27
14.0,21.0,c,pi,-1.1578039898750748e-26
14.0,21.0,lnV0,delta,0.005077262974946146
14.0,21.0,lnV0,rho,0.00031355021880666474
14.0,21.0,lnV0,beta,0.1317153296689494
14.0,21.0,lnV0,phi,-0.416332849343693
14.0,21.0,lnV0,k,2.840388524362559e-28
14.0,21.0,lnV0,pi,-0.6570322938394643
14.0,21.0,delta,rho,8.645214081616591e-06
14.0,21.0,delta,beta,-0.04683081984068242
14.0,21.0,delta,phi,-0.11084398585040008
14.0,21.0,delta,k,-5.905953885844264e-29
14.0,21.0,delta,pi,0.05123158383991244
14.0,21.0,rho,beta,0.0006595121611135916
14.0,21.0,rho,phi,-0.0022488121347851715
14.0,21.0,rho,k,2.588638598323514e-31
14.0,21.0,rho,pi,0.018216203079078425
14.0,21.0,beta,phi,-0.34316611094545724
14.0,21.0,beta,k,-5.214621491180219e-29
14.0,21.0,beta,pi,-1.0105529570806568
14.0,21.0,phi,k,1.9159783509260657e-28
14.0,21.0,phi,pi,-7.511667236728601
14.0,21.0,k,pi,5.69776407327972e-27
