unit,time,prob,ymin,ymax
I,0.0,95,0.0,5.0
I,0.0,87,0.0,4.0
I,0.0,75,0.0,4.0
I,0.0,62,1.0,3.0
I,0.0,50,1.0,3.0
I,0.0,37,1.0,3.0
I,0.0,25,1.0,2.0
I,0.0,12,2.0,2.0
I,0.0,0,2.0,2.0
I,1.0,95,0.0,5.0
I,1.0,87,0.0,4.0
I,1.0,75,0.0,4.0
I,1.0,62,1.0,3.0
I,1.0,50,1.0,3.0
I,1.0,37,1.0,3.0
I,1.0,25,1.0,2.0
I,1.0,12,2.0,2.0
I,1.0,0,2.0,2.0
I,2.0,95,0.0,5.0
I,2.0,87,0.0,4.0
I,2.0,75,0.0,3.0
I,2.0,62,0.0,3.0
I,2.0,50,1.0,3.0
I,2.0,37,1.0,2.0
I,2.0,25,1.0,2.0
I,2.0,12,1.0,2.0
I,2.0,0,2.0,2.0
I,3.0,95,0.0,5.0
I,3.0,87,0.0,4.0
I,3.0,75,0.0,3.0
I,3.0,62,0.0,3.0
I,3.0,50,1.0,3.0
I,3.0,37,1.0,2.0
I,3.0,25,1.0,2.0
I,3.0,12,1.0,2.0
I,3.0,0,2.0,2.0
I,4.0,95,0.0,4.0
I,4.0,87,0.0,3.0
I,4.0,75,0.0,2.0
I,4.0,62,0.0,2.0
I,4.0,50,0.0,2.0
I,4.0,37,0.0,1.0
I,4.0,25,1.0,1.0
I,4.0,12,1.0,1.0
I,4.0,0,1.0,1.0
I,5.0,95,0.0,4.0
I,5.0,87,0.0,3.0
I,5.0,75,0.0,2.0
I,5.0,62,0.0,2.0
I,5.0,50,0.0,2.0
I,5.0,37,0.0,1.0
I,5.0,25,1.0,1.0
I,5.0,12,1.0,1.0
I,5.0,0,1.0,1.0
I,6.0,95,0.0,5.0
I,6.0,87,0.0,4.0
I,6.0,75,0.0,3.0
I,6.0,62,0.0,3.0
I,6.0,50,1.0,2.0
I,6.0,37,1.0,2.0
I,6.0,25,1.0,2.0
I,6.0,12,1.0,2.0
I,6.0,0,1.0,1.0
I,7.0,95,0.0,4.0
I,7.0,87,0.0,3.0
I,7.0,75,0.0,3.0
I,7.0,62,0.0,2.0
I,7.0,50,0.0,2.0
I,7.0,37,1.0,2.0
I,7.0,25,1.0,1.0
I,7.0,12,1.0,1.0
I,7.0,0,1.0,1.0
I,8.0,95,0.0,4.0
I,8.0,87,0.0,3.0
I,8.0,75,0.0,2.0
I,8.0,62,0.0,2.0
I,8.0,50,0.0,2.0
I,8.0,37,0.0,1.0
I,8.0,25,1.0,1.0
I,8.0,12,1.0,1.0
I,8.0,0,1.0,1.0
I,9.0,95,0.0,5.0
I,9.0,87,0.0,4.0
I,9.0,75,0.0,4.0
I,9.0,62,1.0,3.0
I,9.0,50,1.0,3.0
I,9.0,37,1.0,2.0
I,9.0,25,1.0,2.0
I,9.0,12,2.0,2.0
I,9.0,0,2.0,2.0
I,10.0,95,0.0,5.0
I,10.0,87,0.0,4.0
I,10.0,75,0.0,3.0
I,10.0,62,0.0,3.0
I,10.0,50,1.0,2.0
I,10.0,37,1.0,2.0
I,10.0,25,1.0,2.0
I,10.0,12,1.0,2.0
I,10.0,0,1.0,1.0
I,11.0,95,0.0,6.0
I,11.0,87,0.0,5.0
I,11.0,75,1.0,5.0
I,11.0,62,1.0,4.0
I,11.0,50,1.0,4.0
I,11.0,37,2.0,3.0
I,11.0,25,2.0,3.0
I,11.0,12,2.0,3.0
