fs_time,time,param1,param2,covar
14.0,17.0,pi,beta,19.458291130101895
14.0,17.0,pi,delta,-0.6238384424593292
14.0,17.0,lnV0,phi,-0.6962303636625602
14.0,17.0,lnV0,c,0.0
14.0,17.0,lnV0,beta,-0.18786292841911312
14.0,17.0,lnV0,delta,0.007054106852369506
14.0,17.0,phi,c,0.0
14.0,17.0,phi,beta,2.9775019639957834
14.0,17.0,phi,delta,-0.09227503350824881
14.0,17.0,c,beta,0.0
14.0,17.0,c,delta,0.0
14.0,17.0,beta,delta,-0.026194267964718524
14.0,18.0,rho,k,0.0
14.0,18.0,rho,pi,-0.14799483510476155
14.0,18.0,rho,lnV0,0.0018302074262598036
14.0,18.0,rho,phi,-0.02168352648278839
14.0,18.0,rho,c,0.0
14.0,18.0,rho,beta,-0.006062798038359726
14.0,18.0,rho,delta,0.00020857700036086557
14.0,18.0,k,pi,0.0
14.0,18.0,k,lnV0,0.0
14.0,18.0,k,phi,0.0
14.0,18.0,k,c,0.0
14.0,18.0,k,beta,0.0
14.0,18.0,k,delta,0.0
14.0,18.0,pi,lnV0,-4.8595041421177445
14.0,18.0,pi,phi,67.9172612780389
14.0,18.0,pi,c,0.0
14.0,18.0,pi,beta,19.458291130101895
14.0,18.0,pi,delta,-0.6238384424593292
14.0,18.0,lnV0,phi,-0.6962303636625602
14.0,18.0,lnV0,c,0.0
14.0,18.0,lnV0,beta,-0.18786292841911312
14.0,18.0,lnV0,delta,0.007054106852369506
14.0,18.0,phi,c,0.0
14.0,18.0,phi,beta,2.9775019639957834
14.0,18.0,phi,delta,-0.09227503350824881
14.0,18.0,c,beta,0.0
14.0,18.0,c,delta,0.0
14.0,18.0,beta,delta,-0.026194267964718524
14.0,19.0,rho,k,0.0
14.0,19.0,rho,pi,-0.14799483510476155
14.0,19.0,rho,lnV0,0.0018302074262598036
14.0,19.0,rho,phi,-0.02168352648278839
14.0,19.0,rho,c,0.0
14.0,19.0,rho,beta,-0.006062798038359726
14.0,19.0,rho,delta,0.00020857700036086557
14.0,19.0,k,pi,0.0
14.0,19.0,k,lnV0,0.0
14.0,19.0,k,phi,0.0
14.0,19.0,k,c,0.0
14.0,19.0,k,beta,0.0
14.0,19.0,k,delta,0.0
14.0,19.0,pi,lnV0,-4.8595041421177445
14.0,19.0,pi,phi,67.9172612780389
14.0,19.0,pi,c,0.0
14.0,19.0,pi,beta,19.458291130101895
14.0,19.0,pi,delta,-0.6238384424593292
14.0,19.0,lnV0,phi,-0.6962303636625602
14.0,19.0,lnV0,c,0.0
14.0,19.0,lnV0,beta,-0.18786292841911312
14.0,19.0,lnV0,delta,0.007054106852369506
14.0,19.0,phi,c,0.0
14.0,19.0,phi,beta,2.9775019639957834
14.0,19.0,phi,delta,-0.09227503350824881
14.0,19.0,c,beta,0.0
14.0,19.0,c,delta,0.0
14.0,19.0,beta,delta,-0.026194267964718524
14.0,20.0,rho,k,0.0
14.0,20.0,rho,pi,-0.14799483510476155
14.0,20.0,rho,lnV0,0.0018302074262598036
14.0,20.0,rho,phi,-0.02168352648278839
14.0,20.0,rho,c,0.0
14.0,20.0,rho,beta,-0.006062798038359726
14.0,20.0,rho,delta,0.00020857700036086557
14.0,20.0,k,pi,0.0
14.0,20.0,k,lnV0,0.0
14.0,20.0,k,phi,0.0
14.0,20.0,k,c,0.0
14.0,20.0,k,beta,0.0
14.0,20.0,k,delta,0.0
14.0,20.0,pi,lnV0,-4.8595041421177445
14.0,20.0,pi,phi,67.9172612780389
14.0,20.0,pi,c,0.0
14.0,20.0,pi,beta,19.458291130101895
14.0,20.0,pi,delta,-0.6238384424593292
14.0,20.0,lnV0,phi,-0.6962303636625602
14.0,20.0,lnV0,c,0.0
14.0,20.0,lnV0,beta,-0.18786292841911312
14.0,20.0,lnV0,delta,0.007054106852369506
14.0,20.0,phi,c,0.0
14.0,20.0,phi,beta,2.9775019639957834
14.0,20.0,phi,delta,-0.09227503350824881
14.0,20.0,c,beta,0.0
14.0,20.0,c,delta,0.0
14.0,20.0,beta,delta,-0.026194267964718524
14.0,21.0,rho,k,0.0
14.0,21.0,rho,pi,-0.14799483510476155
14.0,21.0,rho,lnV0,0.0018302074262598036
14.0,21.0,rho,phi,-0.02168352648278839
14.0,21.0,rho,c,0.0
14.0,21.0,rho,beta,-0.006062798038359726
14.0,21.0,rho,delta,0.00020857700036086557
14.0,21.0,k,pi,0.0
14.0,21.0,k,lnV0,0.0
14.0,21.0,k,phi,0.0
14.0,21.0,k,c,0.0
14.0,21.0,k,beta,0.0
14.0,21.0,k,delta,0.0
14.0,21.0,pi,lnV0,-4.8595041421177445
14.0,21.0,pi,phi,67.9172612780389
14.0,21.0,pi,c,0.0
14.0,21.0,pi,beta,19.458291130101895
14.0,21.0,pi,delta,-0.6238384424593292
14.0,21.0,lnV0,phi,-0.6962303636625602
14.0,21.0,lnV0,c,0.0
14.0,21.0,lnV0,beta,-0.18786292841911312
14.0,21.0,lnV0,delta,0.007054106852369506
14.0,21.0,phi,c,0.0
14.0,21.0,phi,beta,2.9775019639957834
14.0,21.0,phi,delta,-0.09227503350824881
14.0,21.0,c,beta,0.0
14.0,21.0,c,delta,0.0
14.0,21.0,beta,delta,-0.026194267964718524
