fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.427083578240559,2.427083578240559,model,delta
21.0,0.0,12,2.323591158578656,2.5305759979024622,model,delta
21.0,0.0,25,2.189202365296246,2.909336676290932,model,delta
21.0,0.0,37,2.189202365296246,2.909336676290932,model,delta
21.0,0.0,50,1.8038647421111325,3.392231653722039,model,delta
21.0,0.0,62,1.554010761432653,3.4894211729021665,model,delta
21.0,0.0,75,1.554010761432653,3.4894211729021665,model,delta
21.0,0.0,87,1.023141092680912,3.8492392298831986,model,delta
21.0,0.0,95,1.023141092680912,3.8492392298831986,model,delta
21.0,1.0,0,2.2366198042344934,2.2366198042344934,model,delta
21.0,1.0,12,2.2337573603016994,2.239482248167287,model,delta
21.0,1.0,25,2.215250934657588,2.3467198309993154,model,delta
21.0,1.0,37,2.215250934657588,2.3467198309993154,model,delta
21.0,1.0,50,2.191693177888304,2.38625787931908,model,delta
21.0,1.0,62,2.1823259198613694,2.467594097317358,model,delta
21.0,1.0,75,2.1823259198613694,2.467594097317358,model,delta
21.0,1.0,87,1.0,2.4795886544723533,model,delta
21.0,1.0,95,1.0,2.4795886544723533,model,delta
21.0,2.0,0,2.239482248167287,2.239482248167287,model,delta
21.0,2.0,12,2.2337573603016994,2.239482248167287,model,delta
21.0,2.0,25,2.215250934657588,2.3467198309993154,model,delta
21.0,2.0,37,2.215250934657588,2.38625787931908,model,delta
21.0,2.0,50,2.191693177888304,2.38625787931908,model,delta
21.0,2.0,62,2.191693177888304,2.467594097317358,model,delta
21.0,2.0,75,2.1823259198613694,2.467594097317358,model,delta
21.0,2.0,87,1.0,2.4795886544723533,model,delta
21.0,2.0,95,1.0,2.4795886544723533,model,delta
21.0,3.0,0,2.2337573603016994,2.2337573603016994,model,delta
21.0,3.0,12,2.2337573603016994,2.239482248167287,model,delta
21.0,3.0,25,2.215250934657588,2.3467198309993154,model,delta
21.0,3.0,37,2.191693177888304,2.3467198309993154,model,delta
21.0,3.0,50,2.191693177888304,2.38625787931908,model,delta
21.0,3.0,62,2.1823259198613694,2.467594097317358,model,delta
21.0,3.0,75,1.0,2.467594097317358,model,delta
21.0,3.0,87,1.0,2.4795886544723533,model,delta
21.0,3.0,95,1.0,2.4795886544723533,model,delta
21.0,4.0,0,2.239482248167287,2.239482248167287,model,delta
21.0,4.0,12,2.2337573603016994,2.3467198309993154,model,delta
21.0,4.0,25,2.2337573603016994,2.3467198309993154,model,delta
21.0,4.0,37,2.215250934657588,2.38625787931908,model,delta
21.0,4.0,50,2.191693177888304,2.38625787931908,model,delta
21.0,4.0,62,2.191693177888304,2.467594097317358,model,delta
21.0,4.0,75,2.1823259198613694,2.467594097317358,model,delta
21.0,4.0,87,1.0,2.4795886544723533,model,delta
21.0,4.0,95,1.0,2.4795886544723533,model,delta
21.0,5.0,0,2.3467198309993154,2.3467198309993154,model,delta
