fs_time,time,param1,param2,covar
14.0,16.0,c,phi,-1.7888018506117235e-28
14.0,16.0,c,k,-1.2076632460831492e-28
14.0,16.0,c,pi,7.478829579501855e-27
14.0,16.0,lnV0,delta,-0.010469263573096415
14.0,16.0,lnV0,rho,0.0011289617066348497
14.0,16.0,lnV0,beta,-0.19631734071756102
14.0,16.0,lnV0,phi,0.4832679956496808
14.0,16.0,lnV0,k,-3.9884290435085626e-29
14.0,16.0,lnV0,pi,-2.1628978239397383
14.0,16.0,delta,rho,6.190548848819938e-06
14.0,16.0,delta,beta,-0.0001914866880457247
14.0,16.0,delta,phi,-0.20292014110399095
14.0,16.0,delta,k,1.4456007785081816e-29
14.0,16.0,delta,pi,0.44559979407777
14.0,16.0,rho,beta,-0.00114527780122845
14.0,16.0,rho,phi,-0.0013625760731444747
14.0,16.0,rho,k,1.3296690534961144e-32
14.0,16.0,rho,pi,-0.004629784515354529
14.0,16.0,beta,phi,-0.12123221062891429
14.0,16.0,beta,k,6.518076241369939e-29
14.0,16.0,beta,pi,2.842961138840462
14.0,16.0,phi,k,2.390166841206233e-29
14.0,16.0,phi,pi,-14.010931135493522
14.0,16.0,k,pi,-9.972101656995416e-28
14.0,17.0,c,lnV0,2.996388014430902e-28
14.0,17.0,c,delta,-1.0899740454525483e-28
14.0,17.0,c,rho,-9.982153184217207e-32
14.0,17.0,c,beta,-4.888865510083337e-28
14.0,17.0,c,phi,-1.7888018506117235e-28
14.0,17.0,c,k,-1.2076632460831492e-28
14.0,17.0,c,pi,7.478829579501855e-27
14.0,17.0,lnV0,delta,-0.010469263573096415
14.0,17.0,lnV0,rho,0.0011289617066348497
14.0,17.0,lnV0,beta,-0.19631734071756102
14.0,17.0,lnV0,phi,0.4832679956496808
14.0,17.0,lnV0,k,-3.9884290435085626e-29
14.0,17.0,lnV0,pi,-2.1628978239397383
14.0,17.0,delta,rho,6.190548848819938e-06
14.0,17.0,delta,beta,-0.0001914866880457247
14.0,17.0,delta,phi,-0.20292014110399095
14.0,17.0,delta,k,1.4456007785081816e-29
14.0,17.0,delta,pi,0.44559979407777
14.0,17.0,rho,beta,-0.00114527780122845
14.0,17.0,rho,phi,-0.0013625760731444747
14.0,17.0,rho,k,1.3296690534961144e-32
14.0,17.0,rho,pi,-0.004629784515354529
14.0,17.0,beta,phi,-0.12123221062891429
14.0,17.0,beta,k,6.518076241369939e-29
14.0,17.0,beta,pi,2.842961138840462
14.0,17.0,phi,k,2.390166841206233e-29
14.0,17.0,phi,pi,-14.010931135493522
14.0,17.0,k,pi,-9.972101656995416e-28
14.0,18.0,c,lnV0,2.996388014430902e-28
14.0,18.0,c,delta,-1.0899740454525483e-28
14.0,18.0,c,rho,-9.982153184217207e-32
14.0,18.0,c,beta,-4.888865510083337e-28
14.0,18.0,c,phi,-1.7888018506117235e-28
14.0,18.0,c,k,-1.2076632460831492e-28
14.0,18.0,c,pi,7.478829579501855e-27
14.0,18.0,lnV0,delta,-0.010469263573096415
14.0,18.0,lnV0,rho,0.0011289617066348497
14.0,18.0,lnV0,beta,-0.19631734071756102
14.0,18.0,lnV0,phi,0.4832679956496808
14.0,18.0,lnV0,k,-3.9884290435085626e-29
14.0,18.0,lnV0,pi,-2.1628978239397383
14.0,18.0,delta,rho,6.190548848819938e-06
14.0,18.0,delta,beta,-0.0001914866880457247
14.0,18.0,delta,phi,-0.20292014110399095
14.0,18.0,delta,k,1.4456007785081816e-29
14.0,18.0,delta,pi,0.44559979407777
14.0,18.0,rho,beta,-0.00114527780122845
14.0,18.0,rho,phi,-0.0013625760731444747
14.0,18.0,rho,k,1.3296690534961144e-32
14.0,18.0,rho,pi,-0.004629784515354529
14.0,18.0,beta,phi,-0.12123221062891429
14.0,18.0,beta,k,6.518076241369939e-29
14.0,18.0,beta,pi,2.842961138840462
14.0,18.0,phi,k,2.390166841206233e-29
14.0,18.0,phi,pi,-14.010931135493522
14.0,18.0,k,pi,-9.972101656995416e-28
14.0,19.0,c,lnV0,2.996388014430902e-28
14.0,19.0,c,delta,-1.0899740454525483e-28
14.0,19.0,c,rho,-9.982153184217207e-32
14.0,19.0,c,beta,-4.888865510083337e-28
14.0,19.0,c,phi,-1.7888018506117235e-28
14.0,19.0,c,k,-1.2076632460831492e-28
14.0,19.0,c,pi,7.478829579501855e-27
14.0,19.0,lnV0,delta,-0.010469263573096415
14.0,19.0,lnV0,rho,0.0011289617066348497
14.0,19.0,lnV0,beta,-0.19631734071756102
14.0,19.0,lnV0,phi,0.4832679956496808
14.0,19.0,lnV0,k,-3.9884290435085626e-29
14.0,19.0,lnV0,pi,-2.1628978239397383
14.0,19.0,delta,rho,6.190548848819938e-06
14.0,19.0,delta,beta,-0.0001914866880457247
14.0,19.0,delta,phi,-0.20292014110399095
14.0,19.0,delta,k,1.4456007785081816e-29
14.0,19.0,delta,pi,0.44559979407777
14.0,19.0,rho,beta,-0.00114527780122845
14.0,19.0,rho,phi,-0.0013625760731444747
14.0,19.0,rho,k,1.3296690534961144e-32
14.0,19.0,rho,pi,-0.004629784515354529
14.0,19.0,beta,phi,-0.12123221062891429
14.0,19.0,beta,k,6.518076241369939e-29
14.0,19.0,beta,pi,2.842961138840462
14.0,19.0,phi,k,2.390166841206233e-29
14.0,19.0,phi,pi,-14.010931135493522
14.0,19.0,k,pi,-9.972101656995416e-28
14.0,20.0,c,lnV0,2.996388014430902e-28
14.0,20.0,c,delta,-1.0899740454525483e-28
14.0,20.0,c,rho,-9.982153184217207e-32
14.0,20.0,c,beta,-4.888865510083337e-28
14.0,20.0,c,phi,-1.7888018506117235e-28
14.0,20.0,c,k,-1.2076632460831492e-28
14.0,20.0,c,pi,7.478829579501855e-27
14.0,20.0,lnV0,delta,-0.010469263573096415
14.0,20.0,lnV0,rho,0.0011289617066348497
14.0,20.0,lnV0,beta,-0.19631734071756102
14.0,20.0,lnV0,phi,0.4832679956496808
14.0,20.0,lnV0,k,-3.9884290435085626e-29
14.0,20.0,lnV0,pi,-2.1628978239397383
14.0,20.0,delta,rho,6.190548848819938e-06
14.0,20.0,delta,beta,-0.0001914866880457247
14.0,20.0,delta,phi,-0.20292014110399095
14.0,20.0,delta,k,1.4456007785081816e-29
14.0,20.0,delta,pi,0.44559979407777
14.0,20.0,rho,beta,-0.00114527780122845
14.0,20.0,rho,phi,-0.0013625760731444747
14.0,20.0,rho,k,1.3296690534961144e-32
14.0,20.0,rho,pi,-0.004629784515354529
14.0,20.0,beta,phi,-0.12123221062891429
14.0,20.0,beta,k,6.518076241369939e-29
14.0,20.0,beta,pi,2.842961138840462
14.0,20.0,phi,k,2.390166841206233e-29
14.0,20.0,phi,pi,-14.010931135493522
14.0,20.0,k,pi,-9.972101656995416e-28
14.0,21.0,c,lnV0,2.996388014430902e-28
14.0,21.0,c,delta,-1.0899740454525483e-28
14.0,21.0,c,rho,-9.982153184217207e-32
14.0,21.0,c,beta,-4.888865510083337e-28
14.0,21.0,c,phi,-1.7888018506117235e-28
14.0,21.0,c,k,-1.2076632460831492e-28
14.0,21.0,c,pi,7.478829579501855e-27
14.0,21.0,lnV0,delta,-0.010469263573096415
14.0,21.0,lnV0,rho,0.0011289617066348497
14.0,21.0,lnV0,beta,-0.19631734071756102
14.0,21.0,lnV0,phi,0.4832679956496808
14.0,21.0,lnV0,k,-3.9884290435085626e-29
14.0,21.0,lnV0,pi,-2.1628978239397383
14.0,21.0,delta,rho,6.190548848819938e-06
14.0,21.0,delta,beta,-0.0001914866880457247
14.0,21.0,delta,phi,-0.20292014110399095
14.0,21.0,delta,k,1.4456007785081816e-29
14.0,21.0,delta,pi,0.44559979407777
14.0,21.0,rho,beta,-0.00114527780122845
14.0,21.0,rho,phi,-0.0013625760731444747
14.0,21.0,rho,k,1.3296690534961144e-32
14.0,21.0,rho,pi,-0.004629784515354529
14.0,21.0,beta,phi,-0.12123221062891429
14.0,21.0,beta,k,6.518076241369939e-29
14.0,21.0,beta,pi,2.842961138840462
14.0,21.0,phi,k,2.390166841206233e-29
14.0,21.0,phi,pi,-14.010931135493522
14.0,21.0,k,pi,-9.972101656995416e-28
