fs_time,time,param1,param2,covar
14.0,16.0,phi,k,2.3877178346203463e-29
14.0,16.0,pi,k,1.682686735014196e-27
14.0,17.0,delta,lnV0,0.008473099995739601
14.0,17.0,delta,beta,-0.06578021385102167
14.0,17.0,delta,c,0.0
14.0,17.0,delta,rho,1.6227469605179785e-06
14.0,17.0,delta,phi,-0.0878011931906927
14.0,17.0,delta,pi,0.4241109103358834
14.0,17.0,delta,k,5.9507755754240275e-30
14.0,17.0,lnV0,beta,-0.1928919699377773
14.0,17.0,lnV0,c,0.0
14.0,17.0,lnV0,rho,-6.367123982994474e-05
14.0,17.0,lnV0,phi,-0.035024705653206936
14.0,17.0,lnV0,pi,0.02506208571545717
14.0,17.0,lnV0,k,-4.8951919411942464e-30
14.0,17.0,beta,c,0.0
14.0,17.0,beta,rho,-6.851466315855074e-05
14.0,17.0,beta,phi,-0.42835771759436947
14.0,17.0,beta,pi,1.8376055508910643
14.0,17.0,beta,k,4.824819698912261e-29
14.0,17.0,c,rho,0.0
14.0,17.0,c,phi,0.0
14.0,17.0,c,pi,0.0
14.0,17.0,c,k,0.0
14.0,17.0,rho,phi,-0.0010369092100150348
14.0,17.0,rho,pi,0.0007276490667719076
14.0,17.0,rho,k,6.15371307235563e-32
14.0,17.0,phi,pi,-0.2905406808821298
14.0,17.0,phi,k,2.3877178346203463e-29
14.0,17.0,pi,k,1.682686735014196e-27
14.0,18.0,delta,lnV0,0.008473099995739601
14.0,18.0,delta,beta,-0.06578021385102167
14.0,18.0,delta,c,0.0
14.0,18.0,delta,rho,1.6227469605179785e-06
14.0,18.0,delta,phi,-0.0878011931906927
14.0,18.0,delta,pi,0.4241109103358834
14.0,18.0,delta,k,5.9507755754240275e-30
14.0,18.0,lnV0,beta,-0.1928919699377773
14.0,18.0,lnV0,c,0.0
14.0,18.0,lnV0,rho,-6.367123982994474e-05
14.0,18.0,lnV0,phi,-0.035024705653206936
14.0,18.0,lnV0,pi,0.02506208571545717
14.0,18.0,lnV0,k,-4.8951919411942464e-30
14.0,18.0,beta,c,0.0
14.0,18.0,beta,rho,-6.851466315855074e-05
14.0,18.0,beta,phi,-0.42835771759436947
14.0,18.0,beta,pi,1.8376055508910643
14.0,18.0,beta,k,4.824819698912261e-29
14.0,18.0,c,rho,0.0
14.0,18.0,c,phi,0.0
14.0,18.0,c,pi,0.0
14.0,18.0,c,k,0.0
14.0,18.0,rho,phi,-0.0010369092100150348
14.0,18.0,rho,pi,0.0007276490667719076
14.0,18.0,rho,k,6.15371307235563e-32
14.0,18.0,phi,pi,-0.2905406808821298
14.0,18.0,phi,k,2.3877178346203463e-29
14.0,18.0,pi,k,1.682686735014196e-27
14.0,19.0,delta,lnV0,0.008473099995739601
14.0,19.0,delta,beta,-0.06578021385102167
14.0,19.0,delta,c,0.0
14.0,19.0,delta,rho,1.6227469605179785e-06
14.0,19.0,delta,phi,-0.0878011931906927
14.0,19.0,delta,pi,0.4241109103358834
14.0,19.0,delta,k,5.9507755754240275e-30
14.0,19.0,lnV0,beta,-0.1928919699377773
14.0,19.0,lnV0,c,0.0
14.0,19.0,lnV0,rho,-6.367123982994474e-05
14.0,19.0,lnV0,phi,-0.035024705653206936
14.0,19.0,lnV0,pi,0.02506208571545717
14.0,19.0,lnV0,k,-4.8951919411942464e-30
14.0,19.0,beta,c,0.0
14.0,19.0,beta,rho,-6.851466315855074e-05
14.0,19.0,beta,phi,-0.42835771759436947
14.0,19.0,beta,pi,1.8376055508910643
14.0,19.0,beta,k,4.824819698912261e-29
14.0,19.0,c,rho,0.0
14.0,19.0,c,phi,0.0
14.0,19.0,c,pi,0.0
14.0,19.0,c,k,0.0
14.0,19.0,rho,phi,-0.0010369092100150348
14.0,19.0,rho,pi,0.0007276490667719076
14.0,19.0,rho,k,6.15371307235563e-32
14.0,19.0,phi,pi,-0.2905406808821298
14.0,19.0,phi,k,2.3877178346203463e-29
14.0,19.0,pi,k,1.682686735014196e-27
14.0,20.0,delta,lnV0,0.008473099995739601
14.0,20.0,delta,beta,-0.06578021385102167
14.0,20.0,delta,c,0.0
14.0,20.0,delta,rho,1.6227469605179785e-06
14.0,20.0,delta,phi,-0.0878011931906927
14.0,20.0,delta,pi,0.4241109103358834
14.0,20.0,delta,k,5.9507755754240275e-30
14.0,20.0,lnV0,beta,-0.1928919699377773
14.0,20.0,lnV0,c,0.0
14.0,20.0,lnV0,rho,-6.367123982994474e-05
14.0,20.0,lnV0,phi,-0.035024705653206936
14.0,20.0,lnV0,pi,0.02506208571545717
14.0,20.0,lnV0,k,-4.8951919411942464e-30
14.0,20.0,beta,c,0.0
14.0,20.0,beta,rho,-6.851466315855074e-05
14.0,20.0,beta,phi,-0.42835771759436947
14.0,20.0,beta,pi,1.8376055508910643
14.0,20.0,beta,k,4.824819698912261e-29
14.0,20.0,c,rho,0.0
14.0,20.0,c,phi,0.0
14.0,20.0,c,pi,0.0
14.0,20.0,c,k,0.0
14.0,20.0,rho,phi,-0.0010369092100150348
14.0,20.0,rho,pi,0.0007276490667719076
14.0,20.0,rho,k,6.15371307235563e-32
14.0,20.0,phi,pi,-0.2905406808821298
14.0,20.0,phi,k,2.3877178346203463e-29
14.0,20.0,pi,k,1.682686735014196e-27
14.0,21.0,delta,lnV0,0.008473099995739601
14.0,21.0,delta,beta,-0.06578021385102167
14.0,21.0,delta,c,0.0
14.0,21.0,delta,rho,1.6227469605179785e-06
14.0,21.0,delta,phi,-0.0878011931906927
14.0,21.0,delta,pi,0.4241109103358834
14.0,21.0,delta,k,5.9507755754240275e-30
14.0,21.0,lnV0,beta,-0.1928919699377773
14.0,21.0,lnV0,c,0.0
14.0,21.0,lnV0,rho,-6.367123982994474e-05
14.0,21.0,lnV0,phi,-0.035024705653206936
14.0,21.0,lnV0,pi,0.02506208571545717
14.0,21.0,lnV0,k,-4.8951919411942464e-30
14.0,21.0,beta,c,0.0
14.0,21.0,beta,rho,-6.851466315855074e-05
14.0,21.0,beta,phi,-0.42835771759436947
14.0,21.0,beta,pi,1.8376055508910643
14.0,21.0,beta,k,4.824819698912261e-29
14.0,21.0,c,rho,0.0
14.0,21.0,c,phi,0.0
14.0,21.0,c,pi,0.0
14.0,21.0,c,k,0.0
14.0,21.0,rho,phi,-0.0010369092100150348
14.0,21.0,rho,pi,0.0007276490667719076
14.0,21.0,rho,k,6.15371307235563e-32
14.0,21.0,phi,pi,-0.2905406808821298
14.0,21.0,phi,k,2.3877178346203463e-29
14.0,21.0,pi,k,1.682686735014196e-27
