fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.427083578240559,2.427083578240559,model,delta
21.0,0.0,12,2.323591158578656,2.5305759979024622,model,delta
21.0,0.0,25,2.189202365296246,2.909336676290932,model,delta
21.0,0.0,37,2.189202365296246,2.909336676290932,model,delta
21.0,0.0,50,1.8038647421111325,3.392231653722039,model,delta
21.0,0.0,62,1.554010761432653,3.4894211729021665,model,delta
21.0,0.0,75,1.554010761432653,3.4894211729021665,model,delta
21.0,0.0,87,1.023141092680912,3.8492392298831986,model,delta
21.0,0.0,95,1.023141092680912,3.8492392298831986,model,delta
21.0,1.0,0,2.2854050560995374,2.2854050560995374,model,delta
21.0,1.0,12,2.2835131026169835,2.287297009582091,model,delta
21.0,1.0,25,2.232892396136128,2.290015359869816,model,delta
21.0,1.0,37,2.232892396136128,2.290015359869816,model,delta
21.0,1.0,50,2.202546752363752,2.3022309394456277,model,delta
21.0,1.0,62,2.195122694781457,2.368565036718506,model,delta
21.0,1.0,75,2.195122694781457,2.368565036718506,model,delta
21.0,1.0,87,2.1507671670004607,3.59658026373727,model,delta
21.0,1.0,95,2.1507671670004607,3.59658026373727,model,delta
21.0,2.0,0,2.2835131026169835,2.2835131026169835,model,delta
21.0,2.0,12,2.2835131026169835,2.287297009582091,model,delta
21.0,2.0,25,2.232892396136128,2.287297009582091,model,delta
21.0,2.0,37,2.232892396136128,2.290015359869816,model,delta
21.0,2.0,50,2.202546752363752,2.3022309394456277,model,delta
21.0,2.0,62,2.195122694781457,2.3022309394456277,model,delta
21.0,2.0,75,2.195122694781457,2.368565036718506,model,delta
21.0,2.0,87,2.1507671670004607,2.368565036718506,model,delta
21.0,2.0,95,2.1507671670004607,3.59658026373727,model,delta
21.0,3.0,0,2.2835131026169835,2.2835131026169835,model,delta
21.0,3.0,12,2.2835131026169835,2.287297009582091,model,delta
21.0,3.0,25,2.232892396136128,2.290015359869816,model,delta
21.0,3.0,37,2.232892396136128,2.290015359869816,model,delta
21.0,3.0,50,2.202546752363752,2.3022309394456277,model,delta
21.0,3.0,62,2.195122694781457,2.3022309394456277,model,delta
21.0,3.0,75,2.195122694781457,2.368565036718506,model,delta
21.0,3.0,87,2.1507671670004607,2.368565036718506,model,delta
21.0,3.0,95,2.1507671670004607,3.59658026373727,model,delta
21.0,4.0,0,2.2835131026169835,2.2835131026169835,model,delta
21.0,4.0,12,2.2835131026169835,2.287297009582091,model,delta
21.0,4.0,25,2.232892396136128,2.290015359869816,model,delta
21.0,4.0,37,2.232892396136128,2.290015359869816,model,delta
21.0,4.0,50,2.202546752363752,2.3022309394456277,model,delta
21.0,4.0,62,2.195122694781457,2.3022309394456277,model,delta
21.0,4.0,75,2.195122694781457,2.368565036718506,model,delta
21.0,4.0,87,2.1507671670004607,2.368565036718506,model,delta
21.0,4.0,95,2.1507671670004607,3.59658026373727,model,delta
